log_filename,Cu-C length,C-O length,freq1,freq2,freq3,freq4,freq5,freq6,IR1,IR2,IR3,IR4,IR5,IR6,raman1,raman2,raman3,raman4,raman5,raman6,adsorp_energy,C_NPA_charge,O_NPA_charge,CO_NPA_charge
001.log,2.74,1.099336,0,0,38.6316,51.8609,95.2177,2442.0359,0,0,0.2754,0.1507,0.2568,107.221,0,0,0.1612,0.0816,0.2267,32.7703,-0.108781,0.53405,-0.44669,0.08736
002.log,2.740001,1.099317,0,0,39.6587,51.8922,94.6153,2442.2096,0,0,0.262,0.1546,0.2593,106.4378,0,0,0.1618,0.0818,0.2327,32.6771,-0.112128,0.53396,-0.4466,0.08736
003.log,2.74,1.099315,0,0,40.5671,51.916,94.0058,2442.2511,0,0,0.2475,0.1583,0.2613,105.6579,0,0,0.1625,0.0823,0.239,32.6052,-0.115361,0.53381,-0.44651,0.0873
004.log,2.739999,1.099331,0,0,41.3552,51.935,93.3914,2442.136,0,0,0.2323,0.1619,0.2629,104.8788,0,0,0.1633,0.0833,0.2453,32.5525,-0.118468,0.53359,-0.44642,0.08717
005.log,2.74,1.099361,0,0,42.0213,51.9509,92.7752,2441.8513,0,0,0.2165,0.1649,0.2641,104.0971,0,0,0.1641,0.0848,0.2516,32.5163,-0.121438,0.53329,-0.44632,0.08697
006.log,2.74,1.099411,0,0,42.5655,51.9643,92.162,2441.4166,0,0,0.2007,0.1671,0.265,103.3084,0,0,0.1648,0.0871,0.2578,32.4936,-0.124259,0.53292,-0.44621,0.08671
007.log,2.739999,1.099476,0,0,42.9888,51.974,91.557,2440.8516,0,0,0.1852,0.1682,0.2655,102.5076,0,0,0.1653,0.0901,0.2638,32.4808,-0.126921,0.53249,-0.44609,0.0864
008.log,2.74,1.099557,0,0,43.2941,51.9754,90.9652,2440.1512,0,0,0.1704,0.1679,0.2658,101.6892,0,0,0.1657,0.0939,0.2694,32.4745,-0.129412,0.53198,-0.44596,0.08602
009.log,2.739999,1.099657,0,0,43.486,51.9602,90.3916,2439.2931,0,0,0.1568,0.1657,0.2659,100.8476,0,0,0.1658,0.0985,0.2747,32.4708,-0.131719,0.53141,-0.44582,0.08559
010.log,2.739999,1.099772,0,0,43.5707,51.918,89.8426,2438.269,0,0,0.1445,0.1617,0.2657,99.9768,0,0,0.1659,0.1037,0.2796,32.4658,-0.13383,0.53076,-0.44567,0.08509
