log_filename,freq1,freq2,freq3,freq4,freq5,freq6,IR1,IR2,IR3,IR4,IR5,IR6,raman1,raman2,raman3,raman4,raman5,raman6,adsorp_energy,CO_NPAcharge
1.log,0,0,16.2149,35.8848,171.3964,2220.9472,0,0,0.1517,0.1313,0.0214,63.0445,0,0,0.3721,0.3629,1.967,59.594,0.004876,0.11709
2.log,0,0,19.5745,36.3962,168.0306,2220.9703,0,0,0.1621,0.1057,0.0269,66.5915,0,0,0.3714,0.3518,2.1411,63.8347,-0.011691,0.11723
3.log,0,0,20.8007,38.9602,165.0031,2221.0243,0,0,0.1646,0.0899,0.0316,70.4284,0,0,0.338,0.3879,2.2933,68.2031,-0.027349,0.11749
4.log,0,0,20.6892,42.9603,162.2698,2221.0937,0,0,0.1581,0.0852,0.0351,74.5178,0,0,0.2928,0.4478,2.4203,72.6564,-0.042184,0.11789
5.log,0,0,20.1115,47.6746,159.799,2221.1853,0,0,0.1485,0.0858,0.037,78.8186,0,0,0.2532,0.513,2.5206,77.1546,-0.056271,0.11842
6.log,0,0,19.4574,52.7151,157.561,2221.3121,0,0,0.1388,0.0887,0.0375,83.2878,0,0,0.222,0.5776,2.5954,81.6605,-0.069671,0.11908
7.log,0,0,18.7244,57.8789,155.5171,2221.46,0,0,0.1295,0.0932,0.0367,87.8828,0,0,0.1967,0.6384,2.6447,86.1367,-0.082436,0.11988
8.log,0,0,17.9639,63.0419,153.6372,2221.6293,0,0,0.1206,0.099,0.0348,92.5631,0,0,0.1762,0.6929,2.67,90.5444,-0.094613,0.1208
9.log,0,0,17.3307,68.13,151.9071,2221.8367,0,0,0.1122,0.1062,0.0323,97.2895,0,0,0.1609,0.7396,2.6743,94.8443,-0.106243,0.12185
10.log,0,0,16.8921,73.0803,150.3174,2222.0716,0,0,0.1041,0.1146,0.0295,102.0202,0,0,0.1501,0.7778,2.6584,98.9992,-0.117363,0.12302
11.log,0,0,16.7349,77.8554,148.8687,2222.3212,0,0,0.0962,0.1244,0.027,106.711,0,0,0.1435,0.8074,2.6228,102.9732,-0.128006,0.1243
12.log,0,0,16.9079,82.4465,147.5677,2222.589,0,0,0.0885,0.1354,0.0254,111.3188,0,0,0.141,0.8292,2.5697,106.731,-0.1382,0.12568
13.log,0,0,17.2926,86.8566,146.4051,2222.8756,0,0,0.0811,0.1475,0.0257,115.8044,0,0,0.1417,0.8438,2.5009,110.2374,-0.14797,0.12768
14.log,0,0,17.8055,91.0786,145.3611,2223.1773,0,0,0.0739,0.1608,0.0285,120.134,0,0,0.1463,0.8518,2.4176,113.4589,-0.157337,0.12924
15.log,0,0,18.6224,95.1147,144.4316,2223.497,0,0,0.069,0.175,0.0349,124.2786,0,0,0.1586,0.8539,2.3223,116.3644,-0.166321,0.13086
16.log,0,0,20.0726,98.9794,143.6249,2223.8398,0,0,0.0717,0.1901,0.046,128.212,0,0,0.1882,0.8508,2.2183,118.9261,-0.174942,0.13257
17.log,0,0,22.4967,102.6722,142.9346,2224.2004,0,0,0.0972,0.2059,0.0628,131.9079,0,0,0.2608,0.843,2.1073,121.1202,-0.183217,0.13435
