log_filename,Cu-C length,C-O length,freq1,freq2,freq3,freq4,freq5,freq6,IR1,IR2,IR3,IR4,IR5,IR6,raman1,raman2,raman3,raman4,raman5,raman6,adsorp_energy,C_NPA_charge,O_NPA_charge,CO_NPA_charge
001.log,2.880516,1.12768,0,0.0,0.0,50.7749,108.1223,2206.1079,0,0.0,0.0,0.2713,0.0245,30.1103,0,0.0,0.0,0.5092,0.0513,10.8102,-0.106563,0.25621,-0.2274,0.02881
002.log,2.880515,1.12768,0,0.0,0.0,48.5225,104.6947,2206.0375,0,0.0,0.0,0.2544,0.0199,31.8396,0,0.0,0.0,0.542,0.0685,11.5728,-0.11335,0.25636,-0.22761,0.02875
003.log,2.880515,1.12768,0,0.0,0.0,46.8104,101.6028,2205.9871,0,0.0,0.0,0.2378,0.0176,33.8491,0,0.0,0.0,0.5727,0.0902,12.4375,-0.119499,0.25658,-0.22784,0.02874
004.log,2.880515,1.12768,0,0.0,10.7037,45.363,98.8122,2205.9446,0,0.0,0.0174,0.2203,0.017,36.1226,0,0.0,0.2176,0.5956,0.1167,13.3972,-0.125062,0.25685,-0.2281,0.02875
005.log,2.880516,1.127679,0,0.0,15.6553,44.1034,96.2958,2205.9069,0,0.0,0.0187,0.2021,0.0177,38.6406,0,0.0,0.2175,0.6085,0.1474,14.4433,-0.130084,0.25718,-0.22837,0.02881
006.log,2.880515,1.127679,0,0.0,19.6087,43.1684,94.0334,2205.8877,0,0.0,0.0205,0.185,0.0191,41.3821,0,0.0,0.2172,0.6176,0.1808,15.5668,-0.134606,0.25756,-0.22865,0.02891
007.log,2.880516,1.12768,0,0.0,22.9817,42.2255,91.9746,2205.8819,0,0.0,0.0234,0.1677,0.021,44.3248,0,0.0,0.2183,0.6167,0.216,16.7579,-0.138663,0.258,-0.22895,0.02905
008.log,2.880515,1.12768,0,0.0,25.8793,40.8371,90.0768,2205.8793,0,0.0,0.0283,0.1476,0.0235,47.4431,0,0.0,0.2237,0.593,0.2533,18.0074,-0.142286,0.25849,-0.22925,0.02924
009.log,2.880515,1.12768,0,0.0,28.3983,39.2076,88.3444,2205.8911,0,0.0,0.0365,0.1253,0.0263,50.7105,0,0.0,0.2396,0.5475,0.2926,19.3056,-0.145505,0.25902,-0.22956,0.02946
010.log,2.880515,1.127681,0,0.0,30.5806,37.7202,86.7859,2205.9276,0,0.0,0.0517,0.0992,0.0294,54.1055,0,0.0,0.2832,0.4733,0.3324,20.6416,-0.148356,0.25959,-0.22986,0.02973
011.log,2.880515,1.127681,0,0.0,31.9657,36.7666,85.3863,2205.984,0,0.0,0.0845,0.0581,0.0325,57.6096,0,0.0,0.4071,0.3144,0.3702,22.0015,-0.150866,0.2602,-0.23017,0.03003
012.log,2.880515,1.12768,0,0.0,31.4694,37.3291,84.1409,2206.056,0,0.0,0.1083,0.0285,0.0356,61.1982,0,0.0,0.5171,0.1618,0.4046,23.3702,-0.153065,0.26084,-0.23046,0.03038
013.log,2.880515,1.12768,0,0.0,29.7187,38.9194,83.0597,2206.146,0,0.0,0.1045,0.0293,0.0387,64.8398,0,0.0,0.5037,0.1287,0.4345,24.7342,-0.154982,0.26151,-0.23076,0.03075
014.log,2.880515,1.127681,0,0.0,27.7991,40.7178,82.132,2206.253,0,0.0,0.0986,0.0355,0.0419,68.5002,0,0.0,0.4669,0.1195,0.4566,26.0792,-0.156641,0.26221,-0.23104,0.03117
015.log,2.880515,1.12768,0,0.0,26.0839,42.5292,81.3271,2206.3728,0,0.0,0.0952,0.0429,0.0452,72.1467,0,0.0,0.4316,0.1133,0.4683,27.3898,-0.158066,0.26292,-0.23131,0.03161
016.log,2.880516,1.12768,0,0.0,24.477,44.3176,80.623,2206.5016,0,0.0,0.0951,0.0509,0.049,75.7521,0,0.0,0.4042,0.1077,0.4704,28.6528,-0.159276,0.26366,-0.23157,0.03209
017.log,2.880515,1.12768,0,0.0,22.6368,46.0604,80.0053,2206.6377,0,0.0,0.0993,0.0595,0.054,79.2932,0,0.0,0.3871,0.1026,0.466,29.8565,-0.160285,0.2644,-0.23182,0.03258
